EmployeeID,MaritalStatus,Gender,EmploymentStatus,JobRole,CareerLevel,PerformanceRating,City,HiringPlatform,PhoneNumber,Email,EducationLevel,ReasonForResignation,DateOfBirth,DateOfJoining,LastAppraisalDate,ResignationDate,YearsOfExperience
111065,Married,Female,Outsource,Quality Assurance Engineer,Experienced,Excellent,Pune,Indeed,9.19391E+11,saanvi.sule@gmail.com,Postgraduate,Career Change,1/2/1990,23/04/2020,9/19/2021,4/21/2022,15
106080,Married,Female,FullTime,Product Manager,Experienced,Poor,Pune,Employee Referral,9.17726E+11,vanya.dugar@gmail.com,Graduate,Career Change,7/12/1966,18/10/2018,1/13/2022,3/15/2022,10
106452,Married,Male,FullTime,Data Analyst,Experienced,Good,Gurgaon,Internshala,9.16759E+11,sahil.date@gmail.com,Postgraduate,Career Change,10/3/1985,13/05/2019,11/11/2023,4/30/2024,19
106325,Married,Male,Outsource,Machine Learning Engineer,Experienced,Good,Mumbai,LinkedIn,9.16421E+11,nirvaan.aggarwal@gmail.com,Graduate,Still Working,24/03/2002,24/08/2023,6/19/2025,NA,8
111171,Married,Male,FullTime,Data Scientist,Experienced,Good,Mumbai,Indeed,9.1744E+11,pranay.bora@gmail.com,Graduate,Still Working,18/05/1985,23/02/2018,12/1/2025,NA,20
106419,Married,Female,Outsource,Machine Learning Engineer,Experienced,Excellent,Mumbai,Employee Referral,9.19398E+11,advika.balasubramanian@gmail.com,Graduate,Career Change,24/05/1971,26/06/2024,6/27/2021,12/27/2022,8
100309,Married,Female,FullTime,Data Scientist,Experienced,Good,Gurgaon,Indeed,9.17605E+11,mannat.lad@gmail.com,Graduate,Career Change,20/08/1966,11/9/2016,7/21/2022,3/25/2023,8
110500,Unmarried,Male,FullTime,Data Scientist,Fresher,Excellent,Hyderabad,Naukri.com,9.17905E+11,mannat.sridhar@gmail.com,Postgraduate,Still Working,15/09/1997,17/12/2016,9/27/2024,NA,0
110533,Married,Female,FullTime,Software Engineer,Experienced,Poor,Mumbai,Indeed,9.19506E+11,hrishita.ahuja@gmail.com,Postgraduate,Career Change,19/01/1970,10/10/2018,9/1/2021,9/2/2021,11
110927,Married,Female,FullTime,Quality Analyst,Experienced,Excellent,Gurgaon,Naukri.com,9.18417E+11,neelofar.arora@gmail.com,Graduate,Career Change,15/08/1999,14/02/2023,8/24/2020,8/25/2020,8
105548,Married,Male,FullTime,Product Manager,Experienced,Excellent,Pune,Internshala,9.16186E+11,nehmat.kakar@gmail.com,Graduate,Career Change,12/8/1990,27/09/2021,12/27/2023,12/28/2023,14
111354,Married,Female,FullTime,Project Manager,Experienced,Excellent,Gurgaon,Indeed,9.17318E+11,samaira.mangal@gmail.com,Postgraduate,Career Change,18/05/1981,4/2/2020,8/8/2025,8/9/2025,6
100895,Married,Male,FullTime,Software Engineer,Experienced,Good,Bengaluru,Naukri.com,9.18709E+11,vaibhav.krishna@gmail.com,Postgraduate,Career Change,7/1/1986,10/3/2023,7/4/2025,7/5/2025,16
110783,Married,Male,Outsource,Data Engineer,Fresher,Good,Hyderabad,Company Website,9.19061E+11,saksham.venkatesh@gmail.com,Graduate,Career Change,21/08/1988,27/02/2017,1/28/2025,1/29/2025,0
105507,Married,Female,FullTime,Data Analyst,Experienced,Good,Hyderabad,Naukri.com,9.18487E+11,vedika.ramaswamy@gmail.com,Graduate,Career Change,7/6/1965,3/8/2022,6/23/2025,6/24/2025,12
106710,Married,Female,FullTime,Marketing Analyst,Experienced,Poor,Gurgaon,Company Website,9.19054E+11,anahita.boase@gmail.com,Graduate,Career Change,28/10/1984,31/08/2016,1/19/2025,1/20/2025,10
101236,Married,Male,FullTime,Software Engineer,Experienced,Good,Pune,Naukri.com,9.16853E+11,shray.lata@gmail.com,Graduate,Toxic Work Culture,14/02/1973,25/11/2018,6/17/2025,6/18/2025,8
105985,Married,Female,FullTime,Data Scientist,Experienced,Excellent,Gurgaon,Employee Referral,9.18711E+11,yakshit.sandal@gmail.com,Graduate,Career Change,13/02/1975,13/04/2024,7/11/2024,7/12/2024,25
