EmployeeID,AverageWorkingHoursPerWeek,OvertimeFrequency,RemoteWorkDays,LateArrivalFrequency,SickLeaveTaken,EmailActivityLevel,SystemLoginPatterns
111065,45.7,Low,3,Rarely,3,gmartin@example.com,Regular
106080,37.3,Low,2,Rarely,5,nicolebutler@example.com,Regular
106452,43.1,High,3,Rarely,6,christophergraves@example.net,Regular
106325,36.9,Medium,1,Never,3,bridget20@example.org,Regular
111171,48.1,High,3,Rarely,5,georgekirby@example.org,Regular
106419,39.2,Low,3,Never,4,nathanhester@example.com,Irregular
100309,43.3,Medium,3,Often,4,mathewsbrandon@example.net,Regular
110500,46.3,Low,2,Never,7,nelsonkenneth@example.org,Irregular
110533,41.3,Low,3,Sometimes,5,michaelmccormick@example.com,Regular
110927,35.6,Low,0,Never,4,sullivanmichelle@example.net,Regular
105548,43.4,High,0,Sometimes,3,porterdominic@example.net,Irregular
111354,38.6,Medium,2,Often,5,mark39@example.com,Regular
100895,39.7,Medium,3,Never,11,uphillips@example.com,Irregular
110783,51.6,Low,3,Never,4,dcopeland@example.com,Regular
105507,40.0,Low,4,Often,6,qbailey@example.org,Irregular
106710,38.4,Low,2,Rarely,4,cynthiamurray@example.com,Irregular
101236,36.2,Medium,1,Never,4,claudia60@example.com,Regular
105985,38.3,Low,4,Often,10,vnelson@example.com,Regular
111202,44.0,Medium,1,Rarely,13,christiejohnson@example.org,Regular
100621,46.2,Medium,1,Sometimes,7,ashlee03@example.org,Regular
100301,35.0,Low,2,Rarely,2,williamsmichael@example.com,Regular
101120,44.7,Low,5,Never,8,xdavis@example.com,Regular
101124,38.2,Low,1,Never,8,anthony11@example.net,Regular
110788,46.4,High,3,Never,1,rossapril@example.com,Regular
105394,48.2,Low,3,Sometimes,2,stephaniemiller@example.org,Regular
101226,41.4,Low,4,Never,2,bobbyroberts@example.net,Regular
105911,39.1,High,3,Never,13,garzalarry@example.com,Regular
110566,40.3,Low,3,Never,6,susanhumphrey@example.net,Regular
106577,41.4,High,2,Never,2,angela92@example.com,Irregular
106473,35.0,Low,2,Often,6,progers@example.net,Regular
100603,49.6,High,3,Rarely,1,kimberlypowell@example.org,Regular
106411,48.9,Medium,3,Sometimes,4,simonelizabeth@example.com,Regular
100730,37.7,Medium,3,Often,7,stephaniebrown@example.org,Regular
106540,42.8,Low,3,Often,3,laurasanchez@example.com,Regular
106529,44.9,High,2,Never,1,yflores@example.org,Regular
110848,35.0,Low,1,Never,8,marissa65@example.com,Irregular
105437,42.3,High,2,Never,5,seth06@example.net,Regular
110342,43.9,Medium,1,Never,2,joel40@example.com,Regular
110552,39.9,Low,3,Never,3,hbradford@example.org,Regular
111140,36.1,Medium,3,Often,5,romancatherine@example.net,Regular
100373,38.6,Low,2,Rarely,7,jamesbass@example.org,Regular
106561,37.7,Low,5,Never,7,tmiller@example.net,Regular
110363,43.2,Low,2,Never,4,donnabruce@example.com,Regular
101682,43.8,Medium,1,Rarely,2,angela96@example.net,Irregular
105543,51.3,Medium,5,Rarely,6,kimberly37@example.com,Regular
101626,36.2,Low,5,Never,5,victoria15@example.net,Regular
110505,46.0,High,2,Sometimes,5,dhudson@example.net,Regular
106141,47.2,Medium,2,Often,3,davisalexandra@example.com,Regular
111250,50.1,Low,3,Never,3,pattersonricky@example.org,Regular
105390,40.1,High,2,Sometimes,4,rebeccabuchanan@example.net,Regular
100381,36.7,Medium,4,Rarely,5,donald62@example.org,Regular
105634,41.8,Medium,3,Never,5,victorbruce@example.net,Regular
100826,41.7,High,3,Often,3,boothjulie@example.org,Regular
110407,42.6,Medium,2,Often,11,qcopeland@example.org,Regular
101188,35.9,Low,4,Often,1,jessica26@example.net,Regular
105820,46.5,Medium,4,Never,6,hroberts@example.org,Regular
111184,46.1,Low,2,Sometimes,8,rojasjohn@example.org,Regular
111302,46.5,Medium,2,Never,8,hholloway@example.com,Regular
111533,37.8,Medium,0,Often,3,rwilson@example.net,Irregular
106660,37.9,High,1,Never,5,brewerrobert@example.net,Regular
105937,47.4,Low,3,Often,5,daniel12@example.net,Regular
101053,41.3,Medium,4,Never,6,wrightsandra@example.net,Regular
111692,42.5,High,2,Often,4,jonathandelgado@example.com,Regular
111397,39.0,High,3,Never,6,diana92@example.net,Regular
100674,41.7,Medium,3,Rarely,4,davidkhan@example.com,Regular
110454,42.7,High,4,Sometimes,3,fwilliams@example.org,Irregular
100769,37.9,Low,2,Rarely,1,tcox@example.com,Regular
105779,44.4,Low,3,Never,5,lisashelton@example.net,Regular
110642,40.5,High,0,Rarely,4,lavila@example.com,Regular
110524,42.4,High,3,Often,6,curtisjacob@example.org,Regular
106501,36.4,Low,3,Never,9,wilsonlauren@example.net,Regular
105688,42.8,High,1,Never,1,cory16@example.com,Irregular
110612,48.9,High,5,Rarely,1,sandrabecker@example.com,Regular
110478,39.3,High,1,Rarely,5,arnoldshane@example.com,Regular
105370,35.6,Medium,5,Never,8,estesgina@example.com,Regular
100852,36.0,Medium,2,Rarely,3,rsutton@example.com,Regular
106462,39.7,High,1,Often,1,christinamaynard@example.net,Regular
101163,43.5,Low,3,Often,1,johnbaldwin@example.org,Irregular
110312,38.4,Low,3,Never,7,christine81@example.com,Regular
100942,40.6,Low,2,Rarely,6,pereztraci@example.org,Regular
106620,36.1,Medium,4,Never,9,kathyanderson@example.org,Regular
105538,40.0,High,3,Rarely,7,amclean@example.org,Regular
100515,39.1,High,3,Rarely,5,fjohnson@example.net,Regular
106245,43.7,Medium,3,Never,2,ncox@example.com,Regular
110699,40.2,Low,1,Often,3,billy05@example.org,Regular
105678,43.2,Low,2,Often,2,terri80@example.org,Irregular
111089,40.8,Low,3,Never,3,samantha23@example.net,Regular
110423,39.4,Medium,2,Sometimes,7,phernandez@example.com,Regular
110646,35.9,Medium,5,Never,9,valerieherman@example.org,Regular
105419,39.8,High,3,Never,2,barbaramathews@example.com,Regular
100597,40.8,High,5,Rarely,6,chris24@example.net,Regular
100992,44.1,Low,4,Never,4,blanchardelizabeth@example.net,Regular
101306,46.3,Low,4,Never,4,adam13@example.net,Regular
100919,40.5,Low,3,Never,3,jcastillo@example.net,Regular
106638,41.3,Medium,3,Often,4,iglover@example.org,Regular
105429,50.8,Low,2,Often,3,ycrawford@example.net,Regular
110932,40.0,Medium,2,Sometimes,8,moniquegillespie@example.org,Regular
100760,40.8,High,3,Often,5,ekennedy@example.com,Regular
100639,36.7,Low,2,Never,8,zjones@example.org,Irregular
111049,37.6,Low,5,Rarely,4,peter76@example.org,Regular
111157,43.6,Low,2,Often,8,rhughes@example.net,Regular
100957,40.6,Low,3,Often,6,hmaddox@example.com,Regular
111083,46.3,Medium,0,Sometimes,4,april81@example.net,Regular
110793,36.2,High,2,Rarely,1,ihenry@example.net,Regular
105969,35.1,Medium,3,Rarely,13,christopher14@example.com,Regular
111235,40.9,Low,2,Never,2,coryferguson@example.net,Regular
101192,37.3,Low,3,Sometimes,7,raymondhernandez@example.net,Regular
100610,36.4,Low,2,Never,5,kimberlyadams@example.org,Regular
111209,45.5,Medium,1,Never,7,justin61@example.org,Regular
100350,39.7,High,4,Rarely,6,colejoshua@example.org,Regular
110652,35.1,Low,4,Sometimes,5,heather29@example.net,Irregular
101407,47.8,Medium,3,Never,3,npham@example.com,Regular
101389,45.9,Medium,4,Never,7,garyquinn@example.com,Regular
111290,38.2,Low,2,Never,10,candiceadams@example.com,Regular
101037,41.7,Low,4,Never,3,gthompson@example.org,Regular
106436,36.0,Low,2,Never,1,cassidy91@example.com,Regular
105558,51.1,Low,3,Never,6,staceyschaefer@example.org,Regular
101331,45.3,Medium,2,Often,3,dawn25@example.com,Regular
106599,43.8,High,1,Never,4,thomaspacheco@example.com,Regular
106697,40.2,High,3,Rarely,7,welchtyler@example.com,Regular
101264,40.4,Medium,1,Sometimes,2,sierra88@example.net,Regular
105488,50.0,Medium,2,Never,8,denisehoward@example.net,Irregular
111373,37.5,High,2,Never,5,joshuabullock@example.org,Regular
100398,48.0,High,1,Rarely,5,jason28@example.org,Regular
111266,44.1,Low,4,Sometimes,5,kmiller@example.net,Regular
106608,35.4,Low,3,Often,4,samanthamcdaniel@example.net,Regular
100899,43.4,High,4,Sometimes,2,huntmiranda@example.org,Regular
101662,44.5,Low,4,Often,6,josephmoody@example.org,Regular
111427,38.4,Low,3,Sometimes,8,jake83@example.net,Regular
105592,49.2,Medium,2,Never,2,pbennett@example.com,Regular
111366,47.0,Low,2,Never,2,thomasgreene@example.com,Irregular
105986,45.5,Low,0,Never,7,qmartin@example.com,Irregular
110774,43.2,High,3,Never,4,laura75@example.com,Regular
101510,39.0,Low,1,Rarely,7,randyflowers@example.org,Regular
106109,35.1,Medium,3,Often,10,bryanlivingston@example.org,Regular
111569,45.7,High,3,Never,2,jessica04@example.org,Regular
105734,39.6,Medium,3,Rarely,1,wigginscarolyn@example.net,Regular
101130,49.6,Low,3,Sometimes,2,josephjohn@example.com,Regular
101511,36.7,Low,4,Sometimes,5,rachelbrooks@example.org,Regular
106347,37.9,High,3,Rarely,2,pgardner@example.com,Regular
110842,40.6,Low,3,Never,6,ronald99@example.com,Regular
106446,35.0,High,2,Never,4,bennettjulia@example.org,Regular
101635,41.0,High,0,Never,5,smithsamantha@example.org,Irregular
100561,47.6,Low,3,Never,7,dvargas@example.net,Regular
105711,35.2,Medium,3,Sometimes,4,griffinheather@example.net,Regular
105923,40.4,Medium,5,Never,9,edominguez@example.com,Regular
105357,38.2,Low,5,Often,4,whitesara@example.net,Regular
100884,50.1,High,3,Rarely,3,wrightkristin@example.net,Regular
110481,36.8,Medium,1,Rarely,2,nnguyen@example.com,Regular
106483,35.8,High,5,Never,12,anne74@example.org,Regular
111591,40.7,High,3,Rarely,2,jessica69@example.org,Regular
100906,38.5,Low,1,Never,2,khall@example.com,Regular
111326,38.3,Low,4,Often,2,sherifrazier@example.org,Regular
106294,40.0,Low,5,Often,4,jon29@example.org,Regular
106605,40.5,Medium,1,Rarely,4,lgrant@example.org,Regular
100801,45.7,Medium,1,Rarely,4,mroberts@example.org,Irregular
101422,37.6,Medium,3,Never,11,rodriguezjaime@example.com,Regular
